line_item_id,assessment_id,seq,line_type,revenue_head_code,revenue_head_id,tax_period,description,amount_minor,allocated_minor,allocation_priority
LI-000001,AS-00001,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),35000000,35000000,50
LI-000002,AS-00001,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),490000,490000,30
LI-000003,AS-00001,3,PENALTY,B02391,RH-FBR-B02391,2025-26,Penalty - Income Tax - Companies (Advance/Demand),500000,500000,20
LI-000004,AS-00002,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),39750000,39750000,50
LI-000005,AS-00002,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),556500,556500,30
LI-000006,AS-00003,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),44500000,44500000,50
LI-000007,AS-00003,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),623000,623000,30
LI-000008,AS-00004,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),49250000,18896300,50
LI-000009,AS-00004,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),689500,689500,30
LI-000010,AS-00004,3,PENALTY,B02391,RH-FBR-B02391,2025-26,Penalty - Income Tax - Companies (Advance/Demand),650000,650000,20
LI-000011,AS-00005,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),54000000,26622000,50
LI-000012,AS-00005,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),756000,756000,30
LI-000013,AS-00006,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),58750000,34921000,50
LI-000014,AS-00006,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),822500,822500,30
LI-000015,AS-00007,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),63500000,43943300,50
