product_code,agency_code,name,category,reference_scheme_code,amount_rule,fixed_amount_minor,allow_partial,overpay_treatment,underpay_tolerance_minor,overpay_tolerance_minor,allocation_waterfall,allowed_channels,allowed_instruments,instrument_credit_policy,service_gating,fee_bearer,deposit_refundable,default_revenue_head_code,head_mapping,secondary_lookup_keys,status,effective_from
FBR-IT-COMP,FBR,Income Tax - Companies (Advance/Demand),TAX,PSID-FBR-17,ASSESSED,,Y,CREDIT_ON_ACCOUNT,100,100,PENALTY_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CHEQUE|PAY_ORDER|DEMAND_DRAFT|CASH,PROVISIONAL_ON_LODGEMENT,NONE,AGENCY,N,B01101,"{""PRINCIPAL"": ""B01101"", ""SURCHARGE"": ""B02388"", ""PENALTY"": ""B02391"", ""ROUNDING"": ""B09999""}","[""NTN""]",ACTIVE,2026-07-01
FBR-IT-IND,FBR,Income Tax - Individuals & AOPs,TAX,PSID-FBR-17,ASSESSED,,Y,CREDIT_ON_ACCOUNT,100,100,PRINCIPAL_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CHEQUE|PAY_ORDER|CASH,ON_CLEARING,NONE,AGENCY,N,B01102,"{""PRINCIPAL"": ""B01102"", ""SURCHARGE"": ""B02388"", ""PENALTY"": ""B02391"", ""ROUNDING"": ""B09999""}","[""CNIC"", ""NTN""]",ACTIVE,2026-07-01
FBR-WHT-153,FBR,Withholding Tax - Contracts s.153,TAX,PSID-FBR-17,ASSESSED,,N,AUTO_REFUND,0,0,EXPLICIT_ONLY,APP|IBANKING|API|CHEQUE,CHEQUE|PAY_ORDER,ON_CLEARING,NONE,AGENCY,N,B01110,"{""PRINCIPAL"": ""B01110"", ""ROUNDING"": ""B09999""}","[""NTN""]",ACTIVE,2026-07-01
FBR-ST-DOM,FBR,Sales Tax on Goods - Monthly Return,TAX,PSID-FBR-17,ASSESSED,,Y,CREDIT_ON_ACCOUNT,100,100,PENALTY_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CHEQUE|PAY_ORDER,PROVISIONAL_ON_LODGEMENT,NONE,AGENCY,N,B02341,"{""PRINCIPAL"": ""B02341"", ""SURCHARGE"": ""B02389"", ""PENALTY"": ""B02392"", ""ROUNDING"": ""B09999""}","[""STRN"", ""NTN""]",ACTIVE,2026-07-01
FBR-CUSTOMS,FBR,Customs Duty & Taxes (PSW/GD),DUTY,PSID-FBR-17,ASSESSED,,N,AUTO_REFUND,0,0,EXPLICIT_ONLY,APP|QR|RTP|BILLER|ATM|IBANKING|CARD|WALLET|AGENT|API,PAY_ORDER|DEMAND_DRAFT,PROVISIONAL_WITH_GATE_HOLD,RELEASES_GOODS,AGENCY,N,B03110,"{""PRINCIPAL"": ""B03110"", ""FEE"": ""B03115"", ""ROUNDING"": ""B09999""}","[""GD_NO"", ""NTN""]",ACTIVE,2026-07-01
FBR-DISHON-CHG,FBR,Dishonoured Instrument Charge,PENALTY,PSID-FBR-17,FIXED,50000,N,REJECT,0,0,EXPLICIT_ONLY,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CARD|WALLET|AGENT|API,CASH,ON_CLEARING,NONE,PAYER,N,B08110,"{""PRINCIPAL"": ""B08110""}","[""NTN""]",ACTIVE,2026-07-01
PRA-PST-SVC,PRA,Punjab Sales Tax on Services - Monthly,TAX,PSID-PRA-17,ASSESSED,,Y,CREDIT_ON_ACCOUNT,100,100,PRO_RATA,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CHEQUE|PAY_ORDER,PROVISIONAL_ON_LODGEMENT,NONE,AGENCY,N,P02100,"{""PRINCIPAL"": ""P02100"", ""SURCHARGE"": ""P02188"", ""PENALTY"": ""P02191"", ""ROUNDING"": ""P09999""}","[""PRA_REG"", ""NTN""]",ACTIVE,2026-07-01
SRB-SST-SVC,SRB,Sindh Sales Tax on Services - Monthly,TAX,PSID-SRB-17,ASSESSED,,Y,CREDIT_ON_ACCOUNT,100,100,PENALTY_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|CARD|WALLET|AGENT|API,,ON_CLEARING,NONE,AGENCY,N,S02100,"{""PRINCIPAL"": ""S02100"", ""SURCHARGE"": ""S02188""}","[""SRB_REG"", ""NTN""]",ACTIVE,2026-07-01
ETPB-TOKEN-CAR,ETPB,Motor Vehicle Token Tax - Private Car,TAX,PSID-ETPB-17,ASSESSED,,N,ABSORB,100,500,OLDEST_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CHEQUE|CASH,ON_CLEARING,BLOCKS_SERVICE,PAYER,N,E04210,"{""PRINCIPAL"": ""E04210"", ""SURCHARGE"": ""E04288"", ""ROUNDING"": ""P09999""}","[""VEHICLE_REG"", ""CNIC""]",ACTIVE,2026-07-01
ETPB-REG-NEW,ETPB,Motor Vehicle Registration - New,FEE,PSID-ETPB-17,ASSESSED,,N,AUTO_REFUND,0,0,EXPLICIT_ONLY,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CARD|WALLET|AGENT|API,CASH,ON_CLEARING,BLOCKS_SERVICE,PAYER,N,E04215,"{""PRINCIPAL"": ""E04215""}","[""CHASSIS_NO"", ""CNIC""]",ACTIVE,2026-07-01
